units = {
	fleet = {
		name = "Koninklijke Marine"
		naval_base = 3314  # Amsterdam
		task_force = {
			name = "Koninklijke Vloot"
			location = 2752

			ship = { name = "HrMs Brinio" definition = mdg_corvette equipment = { mdg_ship_hull_corvette_1 = { amount = 1 owner = HOL version_name = "Brinio Class" } } }
			ship = { name = "HrMs Friso" definition = mdg_corvette equipment = { mdg_ship_hull_corvette_1 = { amount = 1 owner = HOL version_name = "Brinio Class" } } }
			ship = { name = "HrMs Gruno" definition = mdg_corvette equipment = { mdg_ship_hull_corvette_1 = { amount = 1 owner = HOL version_name = "Brinio Class" } } }

			ship = { name = "HrMs Flores" definition = mdg_corvette equipment = { mdg_ship_hull_corvette_1 = { amount = 1 owner = HOL version_name = "Flores Class" } } }
			ship = { name = "HrMs Soemba" definition = mdg_corvette equipment = { mdg_ship_hull_corvette_1 = { amount = 1 owner = HOL version_name = "Flores Class" } } }

			ship = { name = "HrMs Johan Maurits van Nassau" definition = mdg_corvette equipment = { mdg_ship_hull_corvette_1 = { amount = 1 owner = HOL version_name = "Johan Maurits van Nassau" } } }

			ship = { name = "HrMs Hydra" definition = mdg_corvette equipment = { mdg_ship_hull_corvette_1 = { amount = 1 owner = HOL version_name = "Hydra Class" } } }
			ship = { name = "HrMs Medusa" definition = mdg_corvette equipment = { mdg_ship_hull_corvette_1 = { amount = 1 owner = HOL version_name = "Hydra Class" } } }
			ship = { name = "HrMs Douwe Aukes" definition = mdg_corvette equipment = { mdg_ship_hull_corvette_1 = { amount = 1 owner = HOL version_name = "Hydra Class" } } }
			ship = { name = "HrMs Van Meerlant" definition = mdg_corvette equipment = { mdg_ship_hull_corvette_1 = { amount = 1 owner = HOL version_name = "Hydra Class" } } }
			ship = { name = "HrMs Krakatau" definition = mdg_corvette equipment = { mdg_ship_hull_corvette_1 = { amount = 1 owner = HOL version_name = "Hydra Class" } } }
			ship = { name = "HrMs Pro Patria" definition = mdg_corvette equipment = { mdg_ship_hull_corvette_1 = { amount = 1 owner = HOL version_name = "Hydra Class" } } }
			ship = { name = "HrMs Nautilus" definition = mdg_corvette equipment = { mdg_ship_hull_corvette_1 = { amount = 1 owner = HOL version_name = "Hydra Class" } } }
			ship = { name = "HrMs Prince van Oranje" definition = mdg_corvette equipment = { mdg_ship_hull_corvette_1 = { amount = 1 owner = HOL version_name = "Hydra Class" } } }
			ship = { name = "HrMs GouHOL Leeuw" definition = mdg_corvette equipment = { mdg_ship_hull_corvette_1 = { amount = 1 owner = HOL version_name = "Hydra Class" } } }
			ship = { name = "HrMs Bangkalan" definition = mdg_corvette equipment = { mdg_ship_hull_corvette_1 = { amount = 1 owner = HOL version_name = "Hydra Class" } } }
			ship = { name = "HrMs Soemenep" definition = mdg_corvette equipment = { mdg_ship_hull_corvette_1 = { amount = 1 owner = HOL version_name = "Hydra Class" } } }
			ship = { name = "HrMs Rigel" definition = mdg_corvette equipment = { mdg_ship_hull_corvette_1 = { amount = 1 owner = HOL version_name = "Hydra Class" } } }

			ship = { name = "HrMs M-1" definition = mdg_corvette equipment = { mdg_ship_hull_corvette_1 = { amount = 1 owner = HOL version_name = "Hydra Class" } } }
			ship = { name = "HrMs M-2" definition = mdg_corvette equipment = { mdg_ship_hull_corvette_1 = { amount = 1 owner = HOL version_name = "Hydra Class" } } }
			ship = { name = "HrMs M-3" definition = mdg_corvette equipment = { mdg_ship_hull_corvette_1 = { amount = 1 owner = HOL version_name = "Hydra Class" } } }
			ship = { name = "HrMs M-4" definition = mdg_corvette equipment = { mdg_ship_hull_corvette_1 = { amount = 1 owner = HOL version_name = "Hydra Class" } } }

			ship = { name = "HrMs A" definition = mdg_corvette equipment = { mdg_ship_hull_corvette_1 = { amount = 1 owner = HOL version_name = "Hydra Class" } } }
			ship = { name = "HrMs B" definition = mdg_corvette equipment = { mdg_ship_hull_corvette_1 = { amount = 1 owner = HOL version_name = "Hydra Class" } } }
			ship = { name = "HrMs C" definition = mdg_corvette equipment = { mdg_ship_hull_corvette_1 = { amount = 1 owner = HOL version_name = "Hydra Class" } } }
			ship = { name = "HrMs D" definition = mdg_corvette equipment = { mdg_ship_hull_corvette_1 = { amount = 1 owner = HOL version_name = "Hydra Class" } } }

			#ship = { name = "HrMs Gadila" definition = mdg_mac equipment = { mdg_ship_hull_mac_1 = { amount = 1 owner = HOL version_name = "MAC Class" } } }
			#ship = { name = "HrMs Macoma" definition = mdg_mac equipment = { mdg_ship_hull_mac_1 = { amount = 1 owner = HOL version_name = "MAC Class" } } }

			# 1939
			ship = { name = "HrMs Van Kinsbergen" definition = mdg_frigate equipment = { mdg_ship_hull_frigate_1 = { amount = 1 owner = HOL version_name = "Van Kinsbergen Class" } } }

			ship = { name = "HrMs Jan van Brakel" definition = mdg_corvette equipment = { mdg_ship_hull_corvette_2 = { amount = 1 owner = HOL version_name = "Jan van Brakel Class" } } }
			ship = { name = "HrMs Willem van der Zaan" definition = mdg_corvette equipment = { mdg_ship_hull_corvette_2 = { amount = 1 owner = HOL version_name = "Jan van Brake Class" } } }

			ship = { name = "HrMs Jan van Amstrel" definition = mdg_frigate equipment = { mdg_ship_hull_frigate_2 = { amount = 1 owner = HOL version_name = "Jan van Amstrel Class" } } }
			ship = { name = "HrMs Pieter de Bitter" definition = mdg_frigate equipment = { mdg_ship_hull_frigate_2 = { amount = 1 owner = HOL version_name = "Jan van Amstrel Class" } } }
			ship = { name = "HrMs Eland Dubois" definition = mdg_frigate equipment = { mdg_ship_hull_frigate_2 = { amount = 1 owner = HOL version_name = "Jan van Amstrel Class" } } }
			ship = { name = "HrMs Willem van Ewijck" definition = mdg_frigate equipment = { mdg_ship_hull_frigate_2 = { amount = 1 owner = HOL version_name = "Jan van Amstrel Class" } } }
			ship = { name = "HrMs Jan van Gekler" definition = mdg_frigate equipment = { mdg_ship_hull_frigate_2 = { amount = 1 owner = HOL version_name = "Jan van Amstrel Class" } } }
			ship = { name = "HrMs Abraham van der Hulst" definition = mdg_frigate equipment = { mdg_ship_hull_frigate_2 = { amount = 1 owner = HOL version_name = "Jan van Amstrel Class" } } }

			ship = { name = "HrMs Alor" definition = mdg_corvette equipment = { mdg_ship_hull_corvette_2 = { amount = 1 owner = HOL version_name = "ABC Class" } } }
			ship = { name = "HrMs Aroe" definition = mdg_corvette equipment = { mdg_ship_hull_corvette_2 = { amount = 1 owner = HOL version_name = "ABC Class" } } }
			ship = { name = "HrMs Bantam" definition = mdg_corvette equipment = { mdg_ship_hull_corvette_2 = { amount = 1 owner = HOL version_name = "ABC Class" } } }
			ship = { name = "HrMs Bogor" definition = mdg_corvette equipment = { mdg_ship_hull_corvette_2 = { amount = 1 owner = HOL version_name = "ABC Class" } } }
			ship = { name = "HrMs Ceram" definition = mdg_corvette equipment = { mdg_ship_hull_corvette_2 = { amount = 1 owner = HOL version_name = "ABC Class" } } }
			ship = { name = "HrMs Cheribon" definition = mdg_corvette equipment = { mdg_ship_hull_corvette_2 = { amount = 1 owner = HOL version_name = "ABC Class" } } }
		}
	}
}
